SampleID,Season,Tide.regime,Date,ShortDate,Time,DateFull,Epoch_timestamp,TideShort,Tide,DateTide,DateOrder,SampleType,Well,Depth,DepthMSL,depth_bin,DistanceMSL,DistanceW1,cluster,Temperature,Salinity,DO_mg.l,DO_uM,pH,Nitrite,Nitrate,Phosphate,Ammonium,Cells_mL,DOC,TN,CobleA,CobleB,CobleC,CobleM,CobleT,Fpeak,Stedmon_D,Optical_Brighteners,Lignin,BIX,HIX,FI,M_to_C
240222_H_W1D3,February 2022,Neap,2/24/22,24-Feb,6:10:00,2/24/22 6:10,1645711800,H,HH,24-Feb-H,3,Microbial,Well 1,Depth 3,-0.033528,0,55.15,0,Shallow,11.8,0.8,2.97,92.816064,8.4,0,461.5648225,22.82577105,0.220354082,856574.872,505.5400601,482.4923073,0.545085365,0.060742971,0.450904772,0.69079655,0.251652011,0.025226937,0.464082633,0.458112713,0.911620557,1.345139372,17.0067334,1.029198071,0.65273165
240222_H_W1D4,February 2022,Neap,2/24/22,24-Feb,6:10:00,2/24/22 6:10,1645711800,H,HH,24-Feb-H,3,Microbial,Well 1,Depth 4,-0.57912,-0.5,55.15,0,Deep,10.9,4.8,5.03,157.193536,7.9,0,1.070916062,90.625091,40.12540595,449149.5747,717.9340088,69.00911707,0.68991754,0.192680165,0.550516835,0.905684915,0.626332635,0.083859704,0.527892711,0.551357455,2.330604676,1.398140233,12.20381649,1.035568628,0.60784587
240222_L_SW,February 2022,Neap,2/24/22,24-Feb,11:02:00,2/24/22 11:02,1645729320,L,LL,24-Feb-L,3,Microbial,Seawater,Depth 4,1,1,NA,45.72,Seawater,12.7,33.4,8.79,274.698048,7.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
240222_L_W1D2,February 2022,Neap,2/24/22,24-Feb,13:29:00,2/24/22 13:29,1645738140,L,LL,24-Feb-L,4,Chemical,Well 1,Depth 2,0.536448,0.75,55.15,0,Shallow,15.2,1.2,4.3,134.38016,8.6,0.785338445,295.929805,45.94211062,1.808930988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
240222_L_W1D3,February 2022,Neap,2/24/22,24-Feb,13:29:00,2/24/22 13:29,1645738140,L,LL,24-Feb-L,4,Chemical,Well 1,Depth 3,-0.033528,0,55.15,0,Shallow,15.2,0.8,2.3,71.87776,8.5,0,453.6400437,23.50376425,1.109957149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
240222_L_W1D4,February 2022,Neap,2/24/22,24-Feb,13:29:00,2/24/22 13:29,1645738140,L,LL,24-Feb-L,4,Chemical,Well 1,Depth 4,-0.57912,-0.5,55.15,0,Deep,15.2,4.2,5.8,181.25696,7.9,0,1.427888082,89.04310687,38.91808751,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
240222_L_W2D2,February 2022,Neap,2/24/22,24-Feb,13:43:00,2/24/22 13:43,1645738980,L,LL,24-Feb-L,4,Chemical,Well 2,Depth 2,0.347472,0.5,50.45,4.700016,Shallow,14.6,3.8,7.56,236.259072,8.3,31.3421434,380.6035683,29.79941539,17.69470005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
240222_L_W2D3,February 2022,Neap,2/24/22,24-Feb,13:43:00,2/24/22 13:43,1645738980,L,LL,24-Feb-L,4,Chemical,Well 2,Depth 3,-0.222504,0,50.45,4.700016,Intermediate,14.9,0.9,2.44,76.252928,8.7,0.499760829,429.8657071,65.44248645,0.156811006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
240222_L_W3D2,February 2022,Neap,2/24/22,24-Feb,13:55:00,2/24/22 13:55,1645739700,L,LL,24-Feb-L,4,Chemical,Well 3,Depth 2,0.155448,0.25,44.97,10.186416,Shallow,14.1,3.3,8.51,265.947712,8.3,0,211.5416194,23.95575972,2.063103293,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
240222_L_W3D3,February 2022,Neap,2/24/22,24-Feb,13:55:00,2/24/22 13:55,1645739700,L,LL,24-Feb-L,4,Chemical,Well 3,Depth 3,-0.326136,-0.25,44.97,10.186416,Intermediate,14,1.8,3.32,103.753984,8.4,0,317.4909151,37.09591363,0.220354082,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
